id_booking,id_agoda,titolo_booking,titolo_agoda,similarity,pair,città_booking,città_agoda,prezzo_booking,prezzo_agoda
728,293,relais palazzo taverna,relais palazzo taverna,1.0,728#293, Roma, Roma ,135,135
730,540,hotel aventino,hotel valentino,0.9723809523809525,730#540, Roma, Terni ,241,258
732,90,hotel best roma,hotel best roma,1.0,732#90, Roma, Roma ,188,126
735,207,hotel virgilio,hotel virgilio,1.0,735#207, Roma, Roma ,163,156
740,28,trevi 41 hotel,trevi hotel,0.9571428571428571,740#28, Roma, Roma ,210,154
740,427,trevi 41 hotel,trevi 41 hotel,1.0,740#427, Roma, Roma ,210,177
742,506,residenza frattina,residenza frattina,1.0,742#506, Roma, Roma ,210,172
745,348,hotel della torre argentina,hotel della torre argentina,1.0,745#348, Roma, Roma ,294,294
751,282,hotel balilla,hotel balilla,1.0,751#282, Roma, Roma ,160,139
759,346,mf hotel,mf hotel,1.0,759#346,, Roma ,125,125
760,160,warmthotel,warmthotel,1.0,760#160, Roma, Roma ,164,128
765,111,hotel dei congressi,hotel dei congressi,1.0,765#111, Roma, Roma ,197,172
769,274,trevi palace luxury inn,trevi palace luxury inn,1.0,769#274, Roma, Roma ,416,266
770,181,hotel saint john,hotel saint john,1.0,770#181, Roma, Roma ,228,167
774,62,aparthotel colombo roma,aparthotel colombo roma,1.0,774#62, Roma, Roma ,172,172
775,53,the independent hotel,the independent hotel,1.0,775#53, Roma, Roma ,275,162
779,364,hotel kent,hotel kent,1.0,779#364,, Roma ,150,120
783,273,hotel giardino deuropa,hotel giardino europa,0.990909090909091,783#273, Roma, Roma ,123,113
792,64,the cross hotel,the cross hotel,1.0,792#64, Roma, Roma ,283,222
793,232,una hotels trastevere roma,una hotels trastevere roma,1.0,793#232, Roma, Roma ,289,244
798,110,albergo ottocento,albergo ottocento,1.0,798#110, Roma, Roma ,248,213
800,439,grand hotel palace rome,grand hotel palace rome,1.0,800#439, Roma, Roma ,332,332
804,43,hotel napoleon,hotel napoleon,1.0,804#43, Roma, Roma ,256,122
811,515,boutique hotel campo de fiori,boutique hotel campo de fiori,1.0,811#515, Roma, Roma ,499,470
816,544,hotel de paris,hotel de paris,1.0,816#544,Terni, Terni ,69,69
817,545,cospea bb,cospea bb,1.0,817#545,Terni, Terni ,55,55
818,624,rosy bedbreakfast,rosy bedbreakfast,1.0,818#624,Terni, Terni ,77,77
819,566,bb angolo verde,bb angolo verde,1.0,819#566,Terni, Terni ,69,69
820,668,santa filomena guest house,santa filomena guest house,1.0,820#668,Terni, Terni ,74,74
821,596,asso residence,asso residence,1.0,821#596,Terni, Terni ,79,79
822,552,asso residence ospedale,asso residence ospedale,1.0,822#552,Terni, Terni ,89,89
824,574,asso residence gold,asso residence gold,1.0,824#574,Terni, Terni ,94,94
825,561,asso residence centro,asso residence centro,1.0,825#561,Terni, Terni ,81,81
826,621,residence viviverde,residence viviverde,1.0,826#621,Terni, Terni ,76,76
827,572,civico 100,civico 100,1.0,827#572,Terni, Terni ,72,72
828,543,classic hotel tulipano,classic hotel tulipano,1.0,828#543,Terni, Terni ,128,98
829,657,angolo verde,angolo verde,1.0,829#657,Terni, Terni ,63,63
830,587,via roma,via roma,1.0,830#587,Terni, Terni ,84,84
831,623,a casa di alma,a casa di alma,1.0,831#623,Terni, Terni ,81,81
832,557,welcome home,welcome home,1.0,832#557,Terni, Terni ,87,87
833,542,hotel michelangelo palace spa,hotel michelangelo palace spa,1.0,833#542,Terni, Terni ,174,174
834,540,hotel valentino,hotel valentino,1.0,834#540,Terni, Terni ,258,258
835,629,le camere di ettore,le camere di ettore,1.0,835#629,Terni, Terni ,79,79
836,640,as maison,as maison,1.0,836#640,Terni, Terni ,89,89
837,632,la casa di alan,la casa di alan,1.0,837#632,Terni, Terni ,80,80
838,615,appartamenti il cerqueto 2,appartamenti il cerqueto 2,1.0,838#615,Terni, Terni ,74,74
840,567,white,white,1.0,840#567,Terni, Terni ,67,67
841,541,hotel garden terni,hotel garden terni,1.0,841#541,Terni, Terni ,138,138
842,675,aryhouse,aryhouse,1.0,842#675,Terni, Terni ,85,85
843,554,tre colonne,tre colonne,1.0,843#554,Terni, Terni ,76,76
844,663,asso residence stazione,asso residence stazione,1.0,844#663,Terni, Terni ,94,94
845,593,ggapartment,ggapartment,1.0,845#593,Terni, Terni ,129,129
846,588,il giardino di venere,il giardino di venere,1.0,846#588,Terni, Terni ,74,74
847,550,casa nel verde,casa nel verde,1.0,847#550,Terni, Terni ,59,59
848,622,la casetta bilocale con giardino privato,la casetta bilocale con giardino privato,1.0,848#622,Terni, Terni ,109,109
849,594,mms home,mms home,1.0,849#594,Terni, Terni ,85,85
850,669,appartamenti natura e terra marmore,appartamenti natura e terra marmore,1.0,850#669,Terni, Terni ,113,113
851,575,san francesco home,san francesco home,1.0,851#575,Terni, Terni ,84,84
852,582,tre monumenti luxury suites,tre monumenti luxury suites,1.0,852#582,Terni, Terni ,113,113
853,641,il teatro alloggi,il teatro alloggi,1.0,853#641,Terni, Terni ,93,93
854,608,palmira house delizioso bilocale for two,palmira house delizioso bilocale for two,1.0,854#608,Terni, Terni ,94,94
