id_booking,id_agoda,titolo_booking,titolo_agoda,città_booking,città_agoda,zona_booking,zona_agoda,name_similarity,città_similarity,pair,prezzo_booking,prezzo_agoda
798,110,albergo ottocento,albergo ottocento,roma,roma,Via Veneto,Via Veneto,1.0,1.0,798#110,248,213
800,439,grand hotel palace rome,grand hotel palace rome,roma,roma,Via Veneto,Via Veneto,1.0,1.0,800#439,332,332
804,43,hotel napoleon,hotel napoleon,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,804#43,256,122
811,515,boutique hotel campo de fiori,boutique hotel campo de fiori,roma,roma,Piazza Navona,Piazza Navona,1.0,1.0,811#515,499,470
816,544,hotel de paris,hotel de paris,terni,terni,Terni,Terni,1.0,1.0,816#544,69,69
817,545,cospea bb,cospea bb,terni,terni,Terni,Terni,1.0,1.0,817#545,55,55
818,624,rosy bedbreakfast,rosy bedbreakfast,terni,terni,Terni,Terni,1.0,1.0,818#624,77,77
820,668,santa filomena guest house,santa filomena guest house,terni,terni,Terni,Terni,1.0,1.0,820#668,74,74
834,540,hotel valentino,hotel valentino,terni,terni,Terni,Terni,1.0,1.0,834#540,258,258
821,596,asso residence,asso residence,terni,terni,Terni,Terni,1.0,1.0,821#596,79,79
822,552,asso residence ospedale,asso residence ospedale,terni,terni,Terni,Terni,1.0,1.0,822#552,89,89
824,574,asso residence gold,asso residence gold,terni,terni,Terni,Terni,1.0,1.0,824#574,94,94
825,561,asso residence centro,asso residence centro,terni,terni,Terni,Terni,1.0,1.0,825#561,81,81
826,621,residence viviverde,residence viviverde,terni,terni,Terni,Terni,1.0,1.0,826#621,76,76
827,572,civico 100,civico 100,terni,terni,Terni,Terni,1.0,1.0,827#572,72,72
828,543,classic hotel tulipano,classic hotel tulipano,terni,terni,Terni,Terni,1.0,1.0,828#543,128,98
829,657,angolo verde,angolo verde,terni,terni,Terni,Terni,1.0,1.0,829#657,63,63
830,587,via roma,via roma,terni,terni,Terni,Terni,1.0,1.0,830#587,84,84
831,623,a casa di alma,a casa di alma,terni,terni,Terni,Terni,1.0,1.0,831#623,81,81
832,557,welcome home,welcome home,terni,terni,Terni,Terni,1.0,1.0,832#557,87,87
833,542,hotel michelangelo palace spa,hotel michelangelo palace spa,terni,terni,Terni,Terni,1.0,1.0,833#542,174,174
540,421,hotel barocco,hotel barocco,roma,roma,Via Veneto,Via Veneto,1.0,1.0,540#421,349,349
541,97,adesso hotel,adesso hotel,roma,roma,Nomentano,Nomentano,1.0,1.0,541#97,195,161
538,326,marcella royal hotel rooftop garden,marcella royal hotel rooftop garden,roma,roma,Centro di Roma,Via Veneto,1.0,1.0,538#326,270,237
253,503,la vite vaticana,la vite vaticana,roma,roma,Vaticano Prati,Città del Vaticano,1.0,1.0,253#503,146,135
183,120,casa i cappuccini,casa i cappuccini,roma,roma,Via Veneto,Via Veneto,1.0,1.0,183#120,164,133
188,379,nazionale palace suites,nazionale palace suites,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,188#379,206,154
197,38,hotel ripa roma,hotel ripa roma,roma,roma,Gianicolense,Trastevere,1.0,1.0,197#38,179,122
883,633,favolosa dimora del capriolo con giardino e parcheggio,favolosa dimora del capriolo con giardino e parcheggio,terni,terni,Terni,Terni,1.0,1.0,883#633,216,228
