id_booking,id_agoda,titolo_booking,titolo_agoda,città_booking,città_agoda,zona_booking,zona_agoda,name_similarity,città_similarity,pair,prezzo_booking,prezzo_agoda
161,141,holiday inn rome eur parco dei medici by ihg,holiday inn rome eur parco dei medici by ihg,roma,roma,Magliana Vecchia,Roma Ovest,1.0,1.0,161#141,190,190
884,605,la severa 2,la severa 2,terni,terni,Terni,Terni,1.0,1.0,884#605,96,96
872,559,acqua marmore,acqua marmore,terni,terni,Terni,Terni,1.0,1.0,872#559,125,125
301,521,atlante star hotel,atlante star hotel,roma,roma,Vaticano Prati,Città del Vaticano,1.0,1.0,301#521,410,345
306,161,hotel della conciliazione,hotel della conciliazione,roma,roma,Vaticano Prati,Città del Vaticano,1.0,1.0,306#161,312,288
477,429,room select via veneto,room select via veneto,roma,roma,Via Veneto,Via Veneto,1.0,1.0,477#429,187,158
428,191,floris hotel,floris hotel,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,428#191,250,215
433,440,hotel valadier,hotel valadier,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,433#440,249,206
435,100,la griffe hotel roma,la griffe hotel roma,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,435#100,210,139
440,327,best western premier hotel royal santina,best western premier hotel royal santina,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,440#327,231,231
875,647,alloggio tra terni e narni,alloggio tra terni e narni,terni,terni,Terni,Terni,1.0,1.0,875#647,128,128
448,278,hotel everest inn rome,hotel everest inn rome,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,448#278,170,139
450,376,the major hotel,the major hotel,roma,roma,Rione Monti,Monti,1.0,1.0,450#376,332,243
457,74,noba hotel e residenze,noba hotel e residenze,roma,roma,Monte Sacro,Nomentano,1.0,1.0,457#74,139,117
458,369,da me suites,da me suites,roma,roma,Spagna,Piazza di Spagna,1.0,1.0,458#369,175,175
467,221,at home townhouse filiberto,at home townhouse filiberto,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,467#221,177,164
468,200,hostel mosaic,hostel mosaic,roma,roma,Stazione Termini,Stazione centrale Roma Termini,1.0,1.0,468#200,109,109
475,139,citizenm rome isola tiberina,citizenm rome isola tiberina,roma,roma,Pantheon,Pantheon,1.0,1.0,475#139,304,304
481,275,hotel barberini,hotel barberini,roma,roma,Trevi,Fontana di Trevi,1.0,1.0,481#275,364,359
