,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
0,The Sereno-3,"8,1",Ottimo ,10 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 242,"3,5 km dal centro","Trionfale, Roma",,4.0,Appartamento con 2 Camere da Letto e Vista Città,Intero appartamento • 2 camere da letto • 1 bagno • 1 cucina • 88 m²,"Appartamento con 2 Camere da Letto e Vista CittàIntero appartamento • 2 camere da letto • 1 bagno • 1 cucina • 88 m²3 letti (2 matrimoniali grandi, 1 divano letto)"
1,Sonder by Marriott Bonvoy Piazza Venezia Apartments,"8,1",Ottimo ,321 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 322,150 m dal centro,"Pantheon, Roma",3.0,,Camera Queen ,Configurazione camera non disponibile,Camera Queen 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
2,GuestHouse Martin,"8,8",Favoloso ,267 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 69,"3,3 km dal centro","Villa Borghese/Parioli, Roma",,4.0,Camera Doppia con Letti Singoli con Bagno Privato Esterno ,Configurazione camera non disponibile,Camera Doppia con Letti Singoli con Bagno Privato Esterno Vari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
3,ASTORIA GOLDEN GATE,"8,9",Favoloso ,1.446 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 110,2 km dal centro,"Stazione Termini, Roma",2.0,,Camera Matrimoniale Superior ,Configurazione camera non disponibile,Camera Matrimoniale Superior Vari tipi di lettoCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
4,Magnifico Rome,"7,8",Buono ,781 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 107,"1,1 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
5,Ann Inn,"7,9",Buono ,990 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 97,"1,8 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito
6,Hotel Suite Caesar,"7,7",Buono ,659 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 79,"1,9 km dal centro","Stazione Termini, Roma",2.0,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 3 camere a questo prezzo sul nostro sito
7,SmooRoomS Trastevere,"7,7",Buono ,263 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 105,"2,7 km dal centro","Gianicolense, Roma",,4.0,Camera Queen con Balcone,Configurazione camera non disponibile,Camera Queen con Balcone1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
8,Black Rooms Colosseo,"8,9",Favoloso ,3.161 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 110,"1,6 km dal centro","Rione Monti, Roma",,4.0,Camera King Standard,Configurazione camera non disponibile,Camera King Standard1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
9,Chigi's Terrace,Novità su booking,Novità su booking,Novità su booking,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 350,"5,2 km dal centro",Roma,,4.0,Appartamento con 3 Camere da Letto,Configurazione camera non disponibile,"Appartamento con 3 Camere da Letto3 letti (2 divani letto, 1 matrimoniale)"
10,Leoni di Giada GUESTHOUSE - close to CENTRAL STATION,"7,9",Buono ,264 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 103,"1,5 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale largeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
11,Nori Guest House,"8,2",Ottimo ,723 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 87,"1,6 km dal centro","Rione Monti, Roma",,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno in Comune,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Bagno in Comune2 letti singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
12,ECCE ROMA,"8,2",Ottimo ,489 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 125,"1,4 km dal centro","Stazione Termini, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale StandardLetti: 1 matrimoniale o 2 singoliRestano solo 2 camere a questo prezzo sul nostro sito
13,Comfy Vatican Suite,"8,6",Favoloso ,797 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 102,"2,9 km dal centro","Trionfale, Roma",,4.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
14,House 4 Mori,"8,8",Favoloso ,272 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 119,"1,9 km dal centro","Centro di Roma, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto singoloCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaRestano solo 3 camere a questo prezzo sul nostro sito
15,Clara Domus,"7,0",Buono ,500 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 90,"1,9 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
16,MC Guest House,"8,1",Ottimo ,538 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 84,"2,5 km dal centro","San Giovanni, Roma",,,Camera Matrimoniale con Bagno in Comune ,Configurazione camera non disponibile,"Camera Matrimoniale con Bagno in Comune 2 letti (1 singolo, 1 matrimoniale alla francese)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
17,Suite Art Navona,"8,1",Ottimo ,1.176 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 162,1 km dal centro,"Piazza Navona, Roma",,4.0,Camera Matrimoniale Deluxe con Letto Matrimoniale alla Francese ,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Letto Matrimoniale alla Francese 1 letto matrimoniale alla franceseCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
18,I LOVE ROMA Guest House,"8,2",Ottimo ,952 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 113,"1,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeCancellazione gratuitaRestano solo 5 camere a questo prezzo sul nostro sito
19,La Casa Di Iulia,"8,5",Ottimo ,366 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 126,"2,1 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
20,Guest's Heaven,"9,0",Eccellente ,1.949 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 91,"3,7 km dal centro",Roma,,4.0,Camera Matrimoniale con Letto Queen-Size - Seminterrato ,Configurazione camera non disponibile,Camera Matrimoniale con Letto Queen-Size - Seminterrato 1 letto matrimonialeCancellazione gratuitaSenza pagamento anticipato – Paga in strutturaResta solo 1 camera a questo prezzo sul nostro sito
21,Mecenate Rooms,"8,7",Favoloso ,446 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 127,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe Vari tipi di lettoCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
22,Domus Castroni Scipioni,"8,8",Favoloso ,432 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 126,"2,2 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimoniale alla franceseColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
23,WE LOVE ROMA Guest House,"8,1",Ottimo ,974 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 153,"1,5 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeCancellazione gratuitaRestano solo 6 camere a questo prezzo sul nostro sito
24,Colosseo Relais,"9,2",Eccellente ,513 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 120,"0,5 km dal centro","Rione Monti, Roma",,4.0,Piccola Camera Matrimoniale Romantica,Configurazione camera non disponibile,Piccola Camera Matrimoniale Romantica1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
25,Oscar Rooms,"7,3",Buono ,788 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 94,"1,6 km dal centro","Stazione Termini, Roma",,2.0,Camera Matrimoniale con Bagno Privato,Configurazione camera non disponibile,Camera Matrimoniale con Bagno Privato1 letto matrimoniale largeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
26,St Peter Suites Boutique Music Guesthouse,"8,7",Favoloso ,197 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 163,"2,1 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
27,Terrace Pantheon Relais,"9,3",Eccellente ,907 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 366,"0,5 km dal centro","Pantheon, Roma",4.0,,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
28,Penthouse Suite Rome - Private Suites,"8,7",Favoloso ,438 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 270,1 km dal centro,"Trevi, Roma",,4.0,Junior Suite,Suite privata,"Junior SuiteSuite privata2 letti (1 matrimoniale grande, 1 matrimoniale)Ne resta solo 1 a questo prezzo sul nostro sito"
29,Hotel Fiori,"8,6",Favoloso ,718 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 150,400 m dal centro,"Rione Monti, Roma",2.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoli • Culla gratuita sempre disponibileResta solo 1 camera a questo prezzo sul nostro sito
30,Massimi City Garden,"8,9",Favoloso ,1.526 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 327,"4,7 km dal centro","Trionfale, Roma",4.0,,Camera Standard Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Standard Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
31,Bhr Cavour 150,"8,6",Favoloso ,235 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 170,"1,1 km dal centro","Rione Monti, Roma",,4.0,Camera King Deluxe ,Configurazione camera non disponibile,Camera King Deluxe 1 letto matrimoniale largeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
32,Hotel Pacific,"8,5",Ottimo ,4.319 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 237,"3,4 km dal centro","Trionfale, Roma",3.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliColazione inclusa
33,"Room Mate Collection Filippo, Rome-Fontana di Trevi","9,4",Eccellente ,1.169 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 384,"1,1 km dal centro","Via Veneto, Roma",4.0,,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli 1 letto matrimonialeColazione inclusa
34,Goldoni 47,"9,3",Eccellente ,268 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 286,1 km dal centro,"Spagna, Roma",3.0,,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale DeluxeLetti: 1 matrimoniale o 2 singoliResta solo 1 camera a questo prezzo sul nostro sito
35,My Suites Piazza di Spagna,"9,0",Eccellente ,616 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 205,"1,2 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
36,Little Queen Suite,"8,4",Ottimo ,1.480 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 243,500 m dal centro,"Pantheon, Roma",,4.0,Camera Matrimoniale con Terrazza,Configurazione camera non disponibile,Camera Matrimoniale con Terrazza1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
37,G55 Design Hotel,"8,2",Ottimo ,753 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 273,300 m dal centro,"Pantheon, Roma",3.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
38,Parisii Luxury Relais Rome,"9,4",Eccellente ,783 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 251,1 km dal centro,"Via Veneto, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimonialeCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
39,Nikis Collection Trastevere,"9,0",Eccellente ,1.345 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 251,"1,2 km dal centro","Trastevere, Roma",,4.0,Camera Matrimoniale Classic,Configurazione camera non disponibile,Camera Matrimoniale Classic1 letto matrimoniale largeRestano solo 3 camere a questo prezzo sul nostro sito
40,Charme Spagna Boutique Hotel,"8,7",Favoloso ,1.149 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 249,"0,8 km dal centro","Spagna, Roma",3.0,,Camera Matrimoniale Standard - Dependance ,Configurazione camera non disponibile,Camera Matrimoniale Standard - Dependance 1 letto matrimonialeRestano solo 5 camere a questo prezzo sul nostro sito
41,Luxury Navona,"8,6",Favoloso ,875 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 219,"1,2 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
42,Palazzo Goldoni Condotti Collection,"9,5",Eccezionale ,383 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 440,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Splendid,Configurazione camera non disponibile,Camera Matrimoniale Splendid1 letto matrimoniale largeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
43,Minerva Monks Inn,"7,9",Buono ,1.672 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 206,300 m dal centro,"Pantheon, Roma",,4.0,Camera Tripla Standard,Configurazione camera non disponibile,"Camera Tripla Standard2 letti (1 singolo, 1 matrimoniale)Colazione inclusaResta solo 1 camera a questo prezzo sul nostro sito"
44,Hotel Relais Dei Papi,"8,2",Ottimo ,3.342 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 264,"2,1 km dal centro","Vaticano Prati, Roma",3.0,,Camera Deluxe con Vasca Idromassaggio,Configurazione camera non disponibile,Camera Deluxe con Vasca Idromassaggio1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
45,Colonna Inn,"9,4",Eccellente ,131 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 304,2 km dal centro,"Vaticano Prati, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli con Terrazza,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Terrazza1 letto matrimoniale • Culla gratuita sempre disponibileCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
46,Jb Relais Luxury,"9,1",Eccellente ,571 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 201,"0,7 km dal centro","Piazza Navona, Roma",,4.0,Camera King Deluxe ,Configurazione camera non disponibile,Camera King Deluxe Vari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
47,Cancelleriadieci,"8,7",Favoloso ,688 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 198,1 km dal centro,"Piazza Navona, Roma",,4.0,Camera Matrimoniale/Doppia con Letti Singoli con Balcone ,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti Singoli con Balcone Vari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
48,Minerva Relais,"9,1",Eccellente ,604 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 278,350 m dal centro,"Pantheon, Roma",,4.0,Camera Superior Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti SingoliVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
49,HT Residence Maximus,"8,2",Ottimo ,1.038 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 256,"1,2 km dal centro","Colosseo, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
50,Unique luxury apartment and rooms,"8,6",Favoloso ,813 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 188,2 km dal centro,"Villa Borghese/Parioli, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,"Camera Matrimoniale Deluxe2 letti (1 matrimoniale grande, 1 divano letto)Resta solo 1 camera a questo prezzo sul nostro sito"
51,Hotel Parker - Gruppo BLAM HOTELS,"8,3",Ottimo ,3.493 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 171,"2,5 km dal centro","Stazione Termini, Roma",3.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
52,Guest House Cavour 278,"9,2",Eccellente ,447 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 194,"0,6 km dal centro","Rione Monti, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
53,Ronda St. Angelo Suites,"8,5",Ottimo ,651 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 192,"1,5 km dal centro","Piazza Navona, Roma",,4.0,Ampia Camera Matrimoniale,Configurazione camera non disponibile,"Ampia Camera Matrimoniale2 letti (1 divano letto, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
54,The Place 217,"9,4",Eccellente ,620 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 207,"2,1 km dal centro","Vaticano Prati, Roma",,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
55,Lungotevere Testaccio 2 Roma - Deluxe Apartment,"8,6",Favoloso ,34 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 141,"1,5 km dal centro","Aventino, Roma",,4.0,Appartamento Superior con 1 Camera da Letto,Intero appartamento • 1 camera da letto • 1 zona giorno • 2 bagni • 1 cucina • 50 m²,"Appartamento Superior con 1 Camera da LettoIntero appartamento • 1 camera da letto • 1 zona giorno • 2 bagni • 1 cucina • 50 m²2 letti (1 matrimoniale alla francese, 1 matrimoniale)Ne resta solo 1 a questo prezzo sul nostro sito"
56,Residenza Canova Tadolini - Guesthouse,"8,6",Favoloso ,558 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 188,"1,4 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
57,Il Campo Marzio,"8,3",Ottimo ,931 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 254,"0,9 km dal centro","Spagna, Roma",4.0,,Camera Matrimoniale Standard,Configurazione camera non disponibile,Camera Matrimoniale Standard1 letto matrimoniale largeRestano solo 2 camere a questo prezzo sul nostro sito
58,Torre Argentina Relais - Residenze di Charme,"9,4",Eccellente ,1.647 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 282,"0,5 km dal centro","Pantheon, Roma",,4.0,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli 1 letto matrimoniale alla franceseRestano solo 4 camere a questo prezzo sul nostro sito
59,Il Monastero Collection,"8,9",Favoloso ,1.800 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 166,1 km dal centro,"Aventino, Roma",,,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
60,Residenza Leutari,"9,3",Eccellente ,450 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 259,"0,9 km dal centro","Piazza Navona, Roma",,4.0,Suite con Terrazza ,Suite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 30 m²,"Suite con Terrazza Suite privata • 1 camera da letto • 1 zona giorno • 1 bagno • 30 m²2 letti (1 matrimoniale grande, 1 divano letto)Cancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito"
61,Profumo Maison Colosseo,"8,2",Ottimo ,403 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 194,"1,4 km dal centro","Rione Monti, Roma",,4.0,Camera Matrimoniale Piccola,Configurazione camera non disponibile,Camera Matrimoniale Piccola1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
62,DrsRome - Roman's Ruins Colosseum,"9,4",Eccellente ,589 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 464,"0,9 km dal centro","Rione Monti, Roma",,4.0,Appartamento con 3 Camere da Letto,Intero appartamento • 3 camere da letto • 1 zona giorno • 3 bagni • 1 cucina • 120 m²,"Appartamento con 3 Camere da LettoIntero appartamento • 3 camere da letto • 1 zona giorno • 3 bagni • 1 cucina • 120 m²6 letti (2 singoli, 1 divano letto, 3 matrimoniali)Ne resta solo 1 a questo prezzo sul nostro sito"
63,Residenza Ruspoli Bonaparte,"8,8",Favoloso ,270 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 592,1 km dal centro,"Spagna, Roma",,4.0,Suite Imperatore Bonaparte,Suite privata • 2 camere da letto • 1 bagno • 150 m²,"Suite Imperatore BonaparteSuite privata • 2 camere da letto • 1 bagno • 150 m²3 letti (2 singoli, 1 matrimoniale)Cancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito"
64,Hotel Borromeo,"8,3",Ottimo ,4.269 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 223,"1,1 km dal centro","Rione Monti, Roma",3.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusa
65,Mascagni Luxury Rooms & Suites,"8,7",Favoloso ,745 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 569,"1,3 km dal centro","Stazione Termini, Roma",4.0,,Camera Premium Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Premium Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusa
66,NEW GENERATION HOSTEL Rome center,"7,8",Buono ,3.988 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 202,"1,2 km dal centro","Rione Monti, Roma",,,Camera Budget Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Budget Doppia con Letti Singoli2 letti a castelloColazione inclusaRestano solo 2 camere a questo prezzo sul nostro sito
67,Navona in Love,"8,7",Favoloso ,4 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 430,1 km dal centro,"Piazza Navona, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 120 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 120 m²9 letti (3 matrimoniali alla francese, 6 divani letto)Cancellazione gratuita"
68,Tarshito Gallery House Roma,"8,4",Ottimo ,299 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 185,"2,3 km dal centro","Stazione Termini, Roma",,4.0,Camera Tripla con Bagno Privato,Configurazione camera non disponibile,"Camera Tripla con Bagno Privato2 letti (1 singolo, 1 matrimoniale)Cancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito"
69,Hotel Abitart,"8,5",Ottimo ,2.515 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 205,"2,6 km dal centro","Aventino, Roma",4.0,,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusaCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
70,Hotel dei Barbieri,"8,4",Ottimo ,809 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 244,"0,6 km dal centro","Pantheon, Roma",4.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale
71,Royal Rooms Corso,"9,0",Eccellente ,315 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 304,"1,4 km dal centro","Spagna, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 3 camere a questo prezzo sul nostro sito
72,Piazza di Spagna 51 Luxury guest house,"9,3",Eccellente ,52 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 391,1 km dal centro,"Spagna, Roma",,4.0,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimoniale largeColazione inclusaCancellazione gratuitaResta solo 1 camera a questo prezzo sul nostro sito
73,Di Rienzo Pantheon Palace,"8,7",Favoloso ,533 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 221,"0,6 km dal centro","Pantheon, Roma",,4.0,Camera Matrimoniale,Configurazione camera non disponibile,Camera Matrimoniale1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
