,titolo,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,prezzo,distanza_centro,indirizzo,stelle,valutazione_booking,descrizione_camera,configurazione_camera,descrizione_unprocessed
242,Popolo & Flaminio Rooms,"8,9",Favoloso ,913 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 192,2 km dal centro,"Villa Borghese/Parioli, Roma",,4.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
243,Excellent Trinity Rooms,"9,1",Eccellente ,378 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 185,1 km dal centro,"Via Veneto, Roma",,4.0,Suite Deluxe,Suite privata,"Suite DeluxeSuite privata2 letti (1 matrimoniale grande, 1 divano letto)Cancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito"
244,MyBedCavour,"9,0",Eccellente ,345 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 204,"1,6 km dal centro","Vaticano Prati, Roma",,4.0,Camera Tripla Classic,Configurazione camera non disponibile,"Camera Tripla Classic2 letti (1 divano letto, 1 matrimoniale)Resta solo 1 camera a questo prezzo sul nostro sito"
245,Trinita Rooms,"9,0",Eccellente ,122 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 138,"2,3 km dal centro","Vaticano Prati, Roma",,4.0,Camera Deluxe ,Configurazione camera non disponibile,Camera Deluxe 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
246,Triviho Hotel,"9,0",Eccellente ,570 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 255,"1,2 km dal centro","Trevi, Roma",3.0,,Camera Matrimoniale Superior,Configurazione camera non disponibile,Camera Matrimoniale Superior1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
247,Hotel Hiberia,"8,9",Favoloso ,4.388 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 237,400 m dal centro,"Trevi, Roma",3.0,,Camera Classic Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliCancellazione gratuitaRestano solo 2 camere a questo prezzo sul nostro sito
248,Fresh House Castel Sant' Angelo,"9,0",Eccellente ,23 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 283,"1,7 km dal centro","Trastevere, Roma",,4.0,Appartamento con 2 Camere da Letto,Intero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 110 m²,"Appartamento con 2 Camere da LettoIntero appartamento • 2 camere da letto • 1 zona giorno • 2 bagni • 1 cucina • 110 m²4 letti (1 matrimoniale alla francese, 2 divani letto, 1 matrimoniale)"
249,LaHouse Rome by Premium Suites Collection,"8,7",Favoloso ,480 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 180,"1,7 km dal centro","Via Veneto, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimoniale alla franceseResta solo 1 camera a questo prezzo sul nostro sito
250,Charme 308,"9,4",Eccellente ,646 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 340,"1,4 km dal centro","Piazza Navona, Roma",,4.0,Camera Tripla con Vista,Configurazione camera non disponibile,Camera Tripla con VistaVari tipi di lettoResta solo 1 camera a questo prezzo sul nostro sito
251,Borgo Ripa Urban Travel,"7,9",Buono ,1.725 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 160,1 km dal centro,"Trastevere, Roma",,,Ampia Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Ampia Camera Matrimoniale/Doppia con Letti Singoli1 letto matrimoniale largeRestano solo 2 camere a questo prezzo sul nostro sito
252,River Luxury Suites,"8,9",Favoloso ,432 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 196,"1,5 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
253,La Vite Vaticana,"8,9",Favoloso ,703 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 146,"2,5 km dal centro","Vaticano Prati, Roma",,4.0,Camera Matrimoniale Deluxe con Vista Città ,Configurazione camera non disponibile,Camera Matrimoniale Deluxe con Vista Città 1 letto matrimonialeResta solo 1 camera a questo prezzo sul nostro sito
254,I Tre Moschettieri - D'Artagnan,"9,3",Eccellente ,1.425 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 323,400 m dal centro,"Trevi, Roma",,4.0,Camera Superior Matrimoniale/Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Superior Matrimoniale/Doppia con Letti Singoli Letti: 1 matrimoniale o 2 singoliColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
255,DOM Hotel Roma - Preferred Hotels & Resorts,"8,8",Favoloso ,473 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 572,"1,3 km dal centro","Piazza Navona, Roma",5.0,,Junior Suite,Suite privata,Junior SuiteSuite privata1 letto matrimoniale largeCancellazione gratuitaNe resta solo 1 a questo prezzo sul nostro sito
256,Vatican Suites - The Luxury Leading Accommodation in Rome,"7,7",Buono ,668 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 192,"2,5 km dal centro","Vaticano Prati, Roma",,3.0,Camera Superior Doppia con Letti Singoli con Vista Città,Configurazione camera non disponibile,Camera Superior Doppia con Letti Singoli con Vista CittàVari tipi di lettoRestano solo 2 camere a questo prezzo sul nostro sito
257,Domus Sessoriana,"8,0",Ottimo ,1.273 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 268,"2,8 km dal centro","Stazione Termini, Roma",,3.0,Camera Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliColazione inclusa
258,Piazza di Spagna Comfort Rooms,"7,8",Buono ,588 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 136,"1,3 km dal centro","Spagna, Roma",,3.0,Camera Matrimoniale Deluxe,Configurazione camera non disponibile,Camera Matrimoniale Deluxe1 letto matrimonialeRestano solo 2 camere a questo prezzo sul nostro sito
259,Navona Rooms,"9,5",Eccezionale ,534 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 237,"0,8 km dal centro","Piazza Navona, Roma",,4.0,Camera Matrimoniale Economy,Configurazione camera non disponibile,Camera Matrimoniale Economy1 letto matrimonialeColazione inclusaResta solo 1 camera a questo prezzo sul nostro sito
260,Mercure Roma Cinecittà,"8,6",Favoloso ,4.266 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 176,"9,4 km dal centro","Appio Latino, Roma",4.0,,Camera Classic Doppia con Letti Singoli ,Configurazione camera non disponibile,Camera Classic Doppia con Letti Singoli 
261,Tree Charme Augusto Luxury Suites,"8,9",Favoloso ,1.234 recensioni,1 agosto - 2 agosto,"1 notte, 2 adulti",€ 259,"1,1 km dal centro","Spagna, Roma",3.0,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,Configurazione camera non disponibile,Camera Deluxe Matrimoniale/Doppia con Letti SingoliLetti: 1 matrimoniale o 2 singoliRestano solo 3 camere a questo prezzo sul nostro sito
