,titolo,titolo_processed,zona,zona_processed,città,distanza_centro,prezzo,numero_notti,numero_persone,inizio_permanenza,fine_permanenza,recensione_voto_numerico,recensione_voto_parola,numero_recensioni,date,permanenza,indirizzo,valutazione,inizio_permanenza_datetime,fine_permanenza_datetime
541,Hotel Garden Terni,garden hotel terni,Terni,terni, Terni ,,138,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,505.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
542,Hotel Michelangelo Palace & SPA,hotel michelangelo palace spa,Terni,terni, Terni ,,174,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,718.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
543,Classic Hotel Tulipano,classic hotel tulipano,Terni,terni, Terni ,,98,1.0,2.0,01-08-25,02-08-25,"7,6",Ottimo,453.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
544,Hotel De Paris,de hotel paris,Terni,terni, Terni ,,69,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,11.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
545,Cospea B&B,b b cospea,Terni,terni, Terni ,,55,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
546,Vallantica Resort & SPA,resort spa vallantica,San Gemini,san gemini, San Gemini ,,206,1.0,2.0,01-08-25,02-08-25,"8,7",Fantastico,263.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",4.0,2025-01-08,2025-02-08
547,Hotel Narnia,hotel narnia,Narni,narni, Narni ,,74,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,6.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
548,Agriturismo Tenuta Filippi,agriturismo filippi tenuta,Narni,narni, Narni ,,123,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,254.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
549,Nonna Anita Palace Narni,anita narni nonna palace,Narni,narni, Narni ,,190,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
550,Casa nel Verde,casa nel verde,Terni,terni, Terni ,,59,1.0,2.0,01-08-25,02-08-25,"8,1",Fantastico,142.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
551,Fresco e Colorato Appartamentino in Narni Scalo,appartamentino colorato e fresco in narni scalo,Narni,narni, Narni ,,73,1.0,2.0,01-08-25,02-08-25,"8,7",Fantastico,20.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
552,Asso Residence Ospedale,asso ospedale residence,Terni,terni, Terni ,,89,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,1300.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
553,Alma Blu con parcheggio su richiesta,alma blu con parcheggio richiesta su,Narni,narni, Narni ,,245,1.0,2.0,01-08-25,02-08-25,"9,9",Eccezionale,2.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
554,Tre Colonne,colonne tre,Terni,terni, Terni ,,76,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,18.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
555,Terra Umbra Hotel,hotel terra umbra,Narni,narni, Narni ,,159,1.0,2.0,01-08-25,02-08-25,"8,0",Fantastico,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
556,"Appartamento Il Girasole a Terni, Umbria",a appartamento girasole il terni umbria,Terni,terni, Terni ,,104,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,132.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
557,Welcome home,home welcome,Terni,terni, Terni ,,87,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,56.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
558,Dolce Nera B&B,b b dolce nera,Narni,narni, Narni ,,80,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,195.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
559,Acqua Marmore,acqua marmore,Terni,terni, Terni ,,125,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,81.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
560,Bice house,bice house,Terni,terni, Terni ,,144,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,19.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
561,Asso Residence Centro,asso centro residence,Terni,terni, Terni ,,81,1.0,2.0,01-08-25,02-08-25,"9,2",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
562,"Casa Susanna - posizione centralissima superservita, tranquilla, appena fuori ZTL parcheggio libero (Casa Susanna - delizioso piano terra, centralissimo, superservito, tranquillo, appena fuori ZTL parc)",appena appena casa casa centralissima centralissimo delizioso fuori fuori libero parc parcheggio piano posizione superservita superservito susanna susanna terra tranquilla tranquillo ztl ztl,Terni,terni, Terni ,,310,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,44.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
563,Hotel Federico II,federico hotel ii,Terni,terni, Terni ,,159,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,1148.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
564,Bed and Breakfast San Valentino,and bed breakfast san valentino,Terni,terni, Terni ,,99,1.0,2.0,01-08-25,02-08-25,"7,7",Ottimo,48.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
565,Narni.Umbria,narni umbria,Narni,narni, Narni ,,73,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,23.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
566,B&B Angolo Verde,angolo b b verde,Terni,terni, Terni ,,69,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
567,White,white,Terni,terni, Terni ,,67,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,223.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
568,Authentic Villa Surrounded by Nature,authentic by nature surrounded villa,Terni,terni, Terni ,,110,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,91.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
569,Grand Hotel San Gemini I UNA Esperienze,esperienze gemini grand hotel i san una,San Gemini,san gemini, San Gemini ,,196,1.0,2.0,01-08-25,02-08-25,"10,0",Eccezionale,2.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",4.0,2025-01-08,2025-02-08
570,San Casciano,casciano san,Narni,narni, Narni ,,106,1.0,2.0,01-08-25,02-08-25,"9,2",Eccezionale,123.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
571,Il Pozzo Country House,country house il pozzo,Terni,terni, Terni ,,95,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,423.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
572,Civico 100,100 civico,Terni,terni, Terni ,,72,1.0,2.0,01-08-25,02-08-25,"8,7",Fantastico,47.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",2.0,2025-01-08,2025-02-08
573,Domus Umbra,domus umbra,Terni,terni, Terni ,,183,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,131.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
574,Asso Residence GOLD,asso gold residence,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"8,6",Fantastico,10.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
575,San Francesco Home,francesco home san,Terni,terni, Terni ,,84,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,10.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
576,VILLA CHIARA,chiara villa,Terni,terni, Terni ,,103,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,115.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
577,Il Rifugio del Cuore,cuore del il rifugio,Terni,terni, Terni ,,181,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,32.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
578,RIO bed,bed rio,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"10,0",Eccezionale,2.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
579,Tana per gli ospiti,gli ospiti per tana,Terni,terni, Terni ,,81,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,68.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
580,Casa Vacanze Chiara,casa chiara vacanze,Terni,terni, Terni ,,104,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
581,Agriturismo Violati,agriturismo violati,San Gemini,san gemini, San Gemini ,,122,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,12.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",,2025-01-08,2025-02-08
582,Tre Monumenti Luxury Suites,luxury monumenti suites tre,Terni,terni, Terni ,,113,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
583,Civico Sessantasei,civico sessantasei,Terni,terni, Terni ,,104,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,2.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
584,A&F House,a f house,Terni,terni, Terni ,,107,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,4.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
585,b&b Casa Regina,b b casa regina,Stroncone,stroncone, Stroncone ,,120,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,67.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stroncone, Stroncone ",2.0,2025-01-08,2025-02-08
586,La Dimora tra gli Archi,archi dimora gli la tra,Montefranco,montefranco, Montefranco ,,112,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Montefranco, Montefranco ",,2025-01-08,2025-02-08
587,Via Roma,via,Terni,terni, Terni ,,84,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,77.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
588,Il Giardino di Venere,di giardino il venere,Terni,terni, Terni ,,74,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
589,Belvedere Valenza,belvedere valenza,Terni,terni, Terni ,,97,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,15.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
590,Umbriahouse,umbriahouse,Terni,terni, Terni ,,129,1.0,2.0,01-08-25,02-08-25,"9,7",Eccezionale,66.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
591,Loft di Benedetta,benedetta di loft,Narni,narni, Narni ,,1014,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,52.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",5.0,2025-01-08,2025-02-08
592,POGGIO&TRAMONTO,poggio tramonto,Calvi dell' Umbria,calvi dell' umbria, Terni ,,72,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,43.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Calvi dell' Umbria, Terni ",4.0,2025-01-08,2025-02-08
593,G&Gapartment,g gapartment,Terni,terni, Terni ,,129,1.0,2.0,01-08-25,02-08-25,"7,9",Ottimo,91.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
594,M&M’s Home,home m m’s,Terni,terni, Terni ,,85,1.0,2.0,01-08-25,02-08-25,"10,0",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
595,La casa di Glenda bis - alloggio zona ospedale,alloggio bis casa di glenda la ospedale zona,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"9,7",Eccezionale,34.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
596,Asso Residence,asso residence,Terni,terni, Terni ,,79,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,1407.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
597,Lattrazionedelgeco,lattrazionedelgeco,Terni,terni, Terni ,,85,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,55.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
598,La Casa Rosa,casa la rosa,Terni,terni, Terni ,,111,1.0,2.0,01-08-25,02-08-25,"8,6",Fantastico,348.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
599,Dal Podestà (Dal Podesta),dal dal podesta podestà,San Gemini,san gemini, San Gemini ,,108,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,73.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",3.0,2025-01-08,2025-02-08
600,Casa Isa,casa isa,Narni,narni, Narni ,,86,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,12.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
601,La Vecchia Stalla B&B,b b la stalla vecchia,Narni,narni, Narni ,,102,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,95.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
602,L'amoruccio,amoruccio l,Terni,terni, Terni ,,148,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,64.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
603,SognoNarni,sognonarni,Narni,narni, Narni ,,117,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,103.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
604,ççç Holiday Properties Terni Central ççç (ccc Holiday Properties Terni Central ccc),ccc ccc central central holiday holiday properties properties terni terni ççç ççç,Terni,terni, Terni ,,111,1.0,2.0,01-08-25,02-08-25,"8,3",Fantastico,83.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
605,La Severa 2,2 la severa,Terni,terni, Terni ,,96,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,11.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
606,Alloggi Primavera Anna,alloggi anna primavera,Papigno,papigno, Papigno ,,141,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Papigno, Papigno ",,2025-01-08,2025-02-08
607,La Sosta B&B,b b la sosta,Stroncone,stroncone, Stroncone ,,80,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,170.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Stroncone, Stroncone ",3.0,2025-01-08,2025-02-08
608,Palmira House - delizioso bilocale for two,bilocale delizioso for house palmira two,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,109.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
609,La Collina Dei Castagni,castagni collina dei la,Terni,terni, Terni ,,134,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
610,B&B Home XIX,b b home xix,Narni,narni, Narni ,,103,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,351.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
611,Alloggi Primavera Matilde,alloggi matilde primavera,Papigno,papigno, Papigno ,,115,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Papigno, Papigno ",3.0,2025-01-08,2025-02-08
612,CasaFè tra sogno e realtà (CasaFe tra sogno e realta),casafe casafè e e realta realtà sogno sogno tra tra,Narni,narni, Narni ,,132,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,106.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
613,La Casa di Cesi,casa cesi di la,Terni,terni, Terni ,,81,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,21.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
614,Alloggio che Ami,alloggio ami che,Montefranco,montefranco, Montefranco ,,92,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,41.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Montefranco, Montefranco ",3.0,2025-01-08,2025-02-08
615,Appartamenti Il Cerqueto 2,2 appartamenti cerqueto il,Terni,terni, Terni ,,74,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,160.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
616,Alma Verde con parcheggio su richiesta,alma con parcheggio richiesta su verde,Narni,narni, Narni ,,231,1.0,2.0,01-08-25,02-08-25,"9,9",Eccezionale,3.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
617,Marmore Charming House,charming house marmore,Terni,terni, Terni ,,122,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,450.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
618,Civico 66,66 civico,Terni,terni, Terni ,,100,1.0,2.0,01-08-25,02-08-25,"9,9",Eccezionale,6.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
619,San Gemini Palace,gemini palace san,San Gemini,san gemini, San Gemini ,,199,1.0,2.0,01-08-25,02-08-25,"9,2",Eccezionale,242.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",5.0,2025-01-08,2025-02-08
620,Aria Marmore,aria marmore,Terni,terni, Terni ,,153,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,36.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
621,Residence Viviverde,residence viviverde,Terni,terni, Terni ,,76,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,643.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
622,La Casetta- Bilocale con giardino privato,bilocale casetta con giardino la privato,Terni,terni, Terni ,,109,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,55.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
623,A casa di Alma,a alma casa di,Terni,terni, Terni ,,81,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,106.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
624,Rosy Bed&Breakfast,bed breakfast rosy,Terni,terni, Terni ,,77,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,328.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
625,"Interamna House, intero appartamento exclusive use",appartamento exclusive house interamna intero use,Terni,terni, Terni ,,97,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",,2025-01-08,2025-02-08
626,WHITE 2,2 white,Terni,terni, Terni ,,73,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,16.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",2.0,2025-01-08,2025-02-08
627,Alan'S Home,alan home s,Terni,terni, Terni ,,105,1.0,2.0,01-08-25,02-08-25,"9,0",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
628,Maya : casa rustica con vista panoramica,casa con maya panoramica rustica vista,Narni,narni, Narni ,,148,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,13.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",4.0,2025-01-08,2025-02-08
629,Le Camere di Ettore,camere di ettore le,Terni,terni, Terni ,,79,1.0,2.0,01-08-25,02-08-25,"9,1",Eccezionale,99.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
630,Agriturismo Madre Terra,agriturismo madre terra,Narni,narni, Narni ,,138,1.0,2.0,01-08-25,02-08-25,"8,8",Fantastico,89.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",5.0,2025-01-08,2025-02-08
631,Casa Dedalus - San Gemini,casa dedalus gemini san,San Gemini,san gemini, San Gemini ,,515,1.0,2.0,01-08-25,02-08-25,"6,3",Buono,4.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",5.0,2025-01-08,2025-02-08
632,La casa di Alan,alan casa di la,Terni,terni, Terni ,,80,1.0,2.0,01-08-25,02-08-25,"8,2",Fantastico,251.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
633,"Favolosa ""Dimora del Capriolo"" con Giardino e Parcheggio",capriolo con del dimora e favolosa giardino parcheggio,Terni,terni, Terni ,,228,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,13.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
634,La Severa,la severa,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,49.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
635,La Casa nella Contea,casa contea la nella,Terni,terni, Terni ,,92,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,21.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
636,"Casa dell'Oliveto ""parcheggio gratuito""",casa dell gratuito oliveto parcheggio,Narni,narni, Narni ,,309,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,54.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",5.0,2025-01-08,2025-02-08
637,Casa di milly,casa di milly,Papigno,papigno, Papigno ,,80,1.0,2.0,01-08-25,02-08-25,"9,8",Eccezionale,0.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Papigno, Papigno ",,2025-01-08,2025-02-08
638,A L'Aquila per un sogno,a aquila l per sogno un,Terni,terni, Terni ,,111,1.0,2.0,01-08-25,02-08-25,"10,0",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
639,La casa di Glenda ospedale,casa di glenda la ospedale,Terni,terni, Terni ,,90,1.0,2.0,01-08-25,02-08-25,"9,3",Eccezionale,23.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
640,as maison,as maison,Terni,terni, Terni ,,89,1.0,2.0,01-08-25,02-08-25,"9,6",Eccezionale,106.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",5.0,2025-01-08,2025-02-08
641,IL TEATRO ALLOGGI,alloggi il teatro,Terni,terni, Terni ,,93,1.0,2.0,01-08-25,02-08-25,"8,9",Fantastico,114.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
642,Stazione di Posta San Gemini,di gemini posta san stazione,San Gemini,san gemini, San Gemini ,,90,1.0,2.0,01-08-25,02-08-25,"10,0",Eccezionale,1.0,1 agosto - 2 agosto,"1 notte, 2 adulti","San Gemini, San Gemini ",3.0,2025-01-08,2025-02-08
643,Domus Narnia,domus narnia,Narni,narni, Narni ,,78,1.0,2.0,01-08-25,02-08-25,"8,5",Fantastico,165.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Narni, Narni ",3.0,2025-01-08,2025-02-08
644,Alle Torri,alle torri,Terni,terni, Terni ,,122,1.0,2.0,01-08-25,02-08-25,"8,4",Fantastico,136.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
645,La casa di Emma,casa di emma la,Terni,terni, Terni ,,94,1.0,2.0,01-08-25,02-08-25,"9,4",Eccezionale,88.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",4.0,2025-01-08,2025-02-08
646,La casa di Umberto,casa di la umberto,Terni,terni, Terni ,,126,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,50.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
647,Alloggio tra Terni e Narni,alloggio e narni terni tra,Terni,terni, Terni ,,128,1.0,2.0,01-08-25,02-08-25,"9,5",Eccezionale,19.0,1 agosto - 2 agosto,"1 notte, 2 adulti","Terni, Terni ",3.0,2025-01-08,2025-02-08
