,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
189,ripetta telier,184,spagna,Roma,33.0,4.0
190,alea home,100,trionfale,Roma,630.0,4.0
191,campo de fiori spanish suite the,255,navona,Roma,1.0,3.0
192,di golden piazza rooms spagna,176,spagna,Roma,633.0,3.0
193,vatican,162,vaticano prati,Roma,642.0,4.0
194,maison pellegrino,205,navona,Roma,279.0,4.0
195,elical suites vatican,255,navona,Roma,104.0,4.0
196,seven,195,stazione termini,Roma,1.0,4.0
197,cicerones luxury suites,158,vaticano prati,Roma,141.0,4.0
198,affreschi al pantheon,247,pantheon,Roma,250.0,4.0
199,55 basilio,221,centro,Roma,645.0,3.0
200,borgognona rooms,214,spagna,Roma,432.0,4.0
201,by collection eitch hotel steps the,253,spagna,Roma,386.0,
202,collection liberty liberty suites vatican,176,vaticano prati,Roma,714.0,3.0
203,relais vatican,198,vaticano prati,Roma,336.0,4.0
204,chilling just suite,186,monti,Roma,1.0,4.0
205,di esperienze maison piazza spagna una,274,spagna,Roma,268.0,
206,monti salotto,213,monti,Roma,1.0,
207,alcova romantic trevi,215,trevi,Roma,412.0,3.0
208,castellino hotel,335,trevi,Roma,1.0,
209,american eur hotel palace,135,eur,Roma,6.0,
210,ludus rooms,414,monti,Roma,484.0,4.0
211,mocenigo suites vatican,192,trionfale,Roma,419.0,4.0
212,excel hotel lh montemario,88,trionfale,Roma,3.0,
213,camplus centro hotel,180,stazione termini,Roma,1.0,
214,palazzetto trevi,268,trevi,Roma,932.0,4.0
215,hotel madison,184,stazione termini,Roma,1.0,
216,house intown luxury,208,spagna,Roma,462.0,4.0
217,didavi guest house,127,,Roma,528.0,4.0
218,by fleming hili suites,131,tor quinto,Roma,643.0,4.0
219,arenula suites,221,navona,Roma,881.0,4.0
220,coronari palace,259,navona,Roma,720.0,
221,ff frattina italian suites,175,spagna,Roma,920.0,4.0
222,grand hotel plaza,376,spagna,Roma,526.0,
223,800 atelier boutique hotel,202,navona,Roma,691.0,
224,hotel talent the,524,pantheon,Roma,607.0,
225,bb freedom love,202,stazione termini,Roma,995.0,4.0
226,suite tankara,227,trastevere,Roma,565.0,4.0
227,aventino beplace,178,aventino,Roma,750.0,4.0
228,hotel latinum,152,stazione termini,Roma,503.0,
229,pirandello villa,134,nomentano,Roma,818.0,
230,collection dc spagna,312,spagna,Roma,334.0,4.0
231,by dei eur holiday ihg inn medici parco,190,magliana vecchia,Roma,4.0,
232,by crowne ihg peters plaza st,245,,Roma,1.0,
233,rohome stay,239,monti,Roma,265.0,4.0
234,aran occidental park,128,giuliano-dalmata,Roma,3.0,
235,candia house luxury maison,189,trionfale,Roma,697.0,4.0
236,gioberti termini,191,stazione termini,Roma,466.0,4.0
237,inn marta,193,monti,Roma,519.0,4.0
238,farnese hotel in residenza,285,navona,Roma,1.0,
239,fiera ibis,108,magliana vecchia,Roma,4.0,
240,al hill hotel inn viminale,192,stazione termini,Roma,577.0,
241,apartments splendor suite suites,248,spagna,Roma,344.0,4.0
242,pierret residenza,266,spagna,Roma,265.0,4.0
243,corner hotel the,282,aventino,Roma,315.0,
244,maison tritone,321,trevi,Roma,686.0,4.0
245,best rooms scipioni,175,vaticano prati,Roma,441.0,4.0
246,apartments cavour joivy luxury,298,monti,Roma,533.0,4.0
247,2 hotel positano,98,stazione termini,Roma,1.0,
248,hotel hotels leading of royal splendide the the world,598,via veneto,Roma,566.0,
249,boutique hotel luxury,152,vaticano prati,Roma,1.0,4.0
