,titolo_booking,prezzo_booking,indirizzo_booking,città_booking,numero_recensioni_booking,valutazione_booking
552,boutique hotel piccolo,130,trionfale,Roma,1.0,4.0
553,campo de fiori jb relais,205,navona,Roma,300.0,4.0
554,hotel miami,173,stazione termini,Roma,3.0,
555,di elisa le stanze,152,vaticano prati,Roma,335.0,4.0
556,building hotel the,216,stazione termini,Roma,2.0,
557,cancello deluxe magenta,176,spagna,Roma,717.0,4.0
558,coronari luxury suite,390,navona,Roma,26.0,4.0
559,hotel pinewood,153,aurelio,Roma,1.0,
560,hotel tirreno,172,monti,Roma,809.0,
561,al bb colosseo quattro santi,171,colosseo,Roma,1.0,4.0
562,21 domus luxury suites,421,pantheon,Roma,454.0,4.0
563,royal suite trastevere trilussa,216,trastevere,Roma,637.0,4.0
564,bedbreakfast menna,165,stazione termini,Roma,41.0,4.0
565,artis hotel,118,,Roma,1.0,
566,hotel sisto v,142,,Roma,1.0,
567,ki residenza,166,trevi,Roma,1.0,3.0
568,habitat monti,215,monti,Roma,1.0,4.0
569,suites,243,spagna,Roma,298.0,4.0
570,colosseum resort,164,stazione termini,Roma,3.0,3.0
571,di ripetta spanish suite the via,232,spagna,Roma,448.0,3.0
572,golden piram tulip,242,stazione termini,Roma,2.0,
573,four rivers suites,236,navona,Roma,1.0,4.0
574,colors trastevere,191,trastevere,Roma,978.0,4.0
575,decò hotels una,273,stazione termini,Roma,3.0,
576,charmsuite raffaello,172,navona,Roma,518.0,4.0
577,apartment daplace sofia,510,spagna,Roma,72.0,4.0
578,di fiumi i navona,183,navona,Roma,566.0,4.0
579,central irooms station,163,monti,Roma,747.0,4.0
580,boutique hotel one spa the,371,trevi,Roma,886.0,
581,domus prati,175,vaticano prati,Roma,772.0,3.0
582,area eur garden,133,ostiense,Roma,2.0,
583,city guest house vatican,181,vaticano prati,Roma,174.0,3.0
584,hotel katty,159,stazione termini,Roma,799.0,
585,collection di filippo gran mate romefontana room trevi,393,via veneto,Roma,266.0,
586,castrense residenza,158,nomentano,Roma,365.0,4.0
587,domus ecclesia inn vatican,142,trionfale,Roma,234.0,4.0
588,dei hotel quiriti,231,vaticano prati,Roma,1.0,
589,la residenza,275,via veneto,Roma,1.0,
590,cesare giulio guest house viale,125,vaticano prati,Roma,679.0,4.0
591,hotel je,326,trevi,Roma,31.0,
592,rooms terrace the vista,209,pantheon,Roma,722.0,4.0
593,core de suites,128,trastevere,Roma,840.0,4.0
594,belli inn residenza,129,trastevere,Roma,1.0,3.0
595,07 flat new opening,375,stazione termini,Roma,139.0,4.0
596,37 de fiori mario,365,spagna,Roma,561.0,
597,hotel principe torlonia,180,nomentano,Roma,992.0,
598,antica dellorso dimora,134,spagna,Roma,544.0,3.0
599,alberico domus,428,vaticano prati,Roma,439.0,4.0
600,affittacamere barberini casa guesthouse o,149,via veneto,Roma,948.0,4.0
601,boutique hotel luna magica,196,centro,Roma,641.0,
602,house key luxury,131,nomentano,Roma,454.0,4.0
603,hotel lorenzo maria san villa,197,san lorenzo,Roma,2.0,
604,308 corso vittorio,191,navona,Roma,467.0,4.0
605,aurelia by garner hotel ihg,151,aurelio,Roma,1.0,
606,cavour centro hotel,172,monti,Roma,2.0,
607,k rooms,146,stazione termini,Roma,580.0,3.0
608,garden hotel marcella rooftop royal,270,centro,Roma,503.0,
609,chotels club house,151,aurelio,Roma,6.0,
610,barocco hotel,349,via veneto,Roma,1.0,
611,adesso hotel,195,nomentano,Roma,2.0,
612,57 house town,190,vaticano prati,Roma,496.0,4.0
613,hotel marcaurelio,188,aurelio,Roma,1.0,
614,66 hotel monti,182,monti,Roma,554.0,
615,giuliana home luxury vatican,339,vaticano prati,Roma,65.0,4.0
616,a bb of peace,214,vaticano prati,Roma,746.0,4.0
617,anthony guesthouse,162,stazione termini,Roma,355.0,4.0
618,crosti hotel,231,stazione termini,Roma,3.0,
619,carpegna nh villa,194,aurelio,Roma,2.0,
620,circo massimo relais,192,aventino,Roma,498.0,4.0
621,hotel indipendenza,97,stazione termini,Roma,1.0,
622,dei eur parco pini villa,145,eur,Roma,4.0,
623,blu ghr radisson,284,villa borghese/parioli,Roma,2.0,
624,capricci romani,253,vaticano prati,Roma,508.0,4.0
625,inn pantheon,236,pantheon,Roma,2.0,4.0
626,cavour relais,162,vaticano prati,Roma,567.0,4.0
627,castello porta suites,257,vaticano prati,Roma,428.0,4.0
628,prestige rooms veneto via,236,trevi,Roma,1.0,4.0
629,hotel pinciana villa,253,via veneto,Roma,568.0,
630,innside,158,aurelio,Roma,295.0,4.0
631,bb biancorè,247,monti,Roma,403.0,4.0
632,monti relais,252,monti,Roma,1.0,4.0
633,hotel trastevere,152,trastevere,Roma,1.0,
634,ac ii more much,188,stazione termini,Roma,690.0,3.0
635,hotel labelle,164,monti,Roma,1.0,
636,domidea hotel,207,,Roma,1.0,
637,grand hotel tiberio,141,trionfale,Roma,2.0,
638,argentina hotel residenza style,260,pantheon,Roma,1.0,
639,ac by clodio hotel marriott,210,,Roma,105.0,
640,empire hotels una,201,via veneto,Roma,2.0,
641,rose suite,174,stazione termini,Roma,664.0,4.0
642,hotel rimini,104,stazione termini,Roma,1.0,
643,agorà hotel,122,stazione termini,Roma,2.0,
644,garden hotel urban,171,tiburtino,Roma,1.0,
645,otto photogallery rooms,237,vaticano prati,Roma,248.0,4.0
646,163 boutique hotel,229,monti,Roma,280.0,
647,arcangelo hotel,215,vaticano prati,Roma,1.0,
648,le petit real,163,stazione termini,Roma,583.0,4.0
649,flavia giotto,132,centro,Roma,1.0,
650,albergo barberini delle di fontana regioni trevi,302,trevi,Roma,1.0,
651,alpi hotel,204,stazione termini,Roma,2.0,
652,cosima daplace palazzina,536,trastevere,Roma,35.0,4.0
653,ad ad by cavour luxury rooms,134,vaticano prati,Roma,400.0,4.0
654,hotel julia,155,trevi,Roma,1.0,
655,suitedreams,308,stazione termini,Roma,948.0,4.0
656,meininger termini,159,stazione termini,Roma,2.0,
657,boutique esposizione,208,monti,Roma,483.0,
658,bw canada collection hotel premier,177,stazione termini,Roma,1.0,
659,elegance suite trevi,155,trevi,Roma,526.0,4.0
660,casa casa dolce,165,ostiense,Roma,1.0,3.0
661,boutique doria hotel palace,211,monti,Roma,1.0,
662,affittacamere civetta di guesthouse la o trastevere,249,trastevere,Roma,767.0,4.0
663,6 by dot floor suites,149,stazione termini,Roma,605.0,3.0
664,bv hotel oly,189,ostiense,Roma,1.0,
665,hotel radio,107,portuense,Roma,2.0,
666,charme di hotel metropolis,205,vaticano prati,Roma,444.0,
667,treasure vatican,225,vaticano prati,Roma,747.0,3.0
668,collection grand liberty suites tour,201,vaticano prati,Roma,925.0,3.0
669,51 suites,190,aurelio,Roma,211.0,4.0
670,centro collection nh,322,vaticano prati,Roma,1.0,
671,guest house imperial rhome,419,monti,Roma,265.0,4.0
672,baileys bb hotels smarthotel,214,centro,Roma,2.0,
673,chateau hotel river,192,tor quinto,Roma,1.0,
674,relais servio tullio,281,stazione termini,Roma,373.0,4.0
675,living navona,271,navona,Roma,442.0,4.0
676,suites unica,300,trevi,Roma,673.0,4.0
677,crescenzio domus guest house,161,vaticano prati,Roma,315.0,4.0
678,bello colosseo ostello,276,monti,Roma,2.0,
679,diamants les,243,spagna,Roma,290.0,4.0
680,aparthotel hisuite,612,navona,Roma,428.0,4.0
681,caravita hotel,377,pantheon,Roma,987.0,
682,art aurelius gallery hotel,142,aurelio,Roma,1.0,
683,navona palace sky,233,navona,Roma,777.0,4.0
684,gruppo hotel hotels rinascimento trevi,284,navona,Roma,361.0,
685,di piazza rome55 spagna,327,spagna,Roma,131.0,
686,chapter,290,pantheon,Roma,1.0,
687,inn rooms target,159,stazione termini,Roma,597.0,3.0
688,hotel patria,164,stazione termini,Roma,1.0,
689,house mantegna precise,177,ardeatino,Roma,1.0,
690,relais veneto,139,centro,Roma,2.0,4.0
691,94rooms guest house vatican vigliena,117,vaticano prati,Roma,496.0,4.0
692,and apartment big colosseum comfortable,751,monti,Roma,74.0,4.0
693,angelus room vaticanus,212,trionfale,Roma,181.0,3.0
694,juno pantheon,180,pantheon,Roma,611.0,3.0
695,amaranto guest house romano,220,stazione termini,Roma,293.0,4.0
696,hotel mozart,254,spagna,Roma,1.0,
697,rooms santerasmo,112,monti,Roma,347.0,4.0
698,hotel leone,123,stazione termini,Roma,1.0,
699,charming navona,181,navona,Roma,990.0,3.0
700,house lory,150,vaticano prati,Roma,625.0,4.0
701,gasometer suites urban,209,ostiense,Roma,1.0,4.0
702,di guest house le pietro san vie,176,vaticano prati,Roma,20.0,4.0
703,eliseo hotel,233,via veneto,Roma,873.0,
704,aventinus hotel major,128,aventino,Roma,2.0,
705,crescenzio residenza,166,vaticano prati,Roma,422.0,4.0
706,palazzo santantonio,85,aurelio,Roma,1.0,
707,affittacamere alessiacalliope,208,aurelio,Roma,461.0,3.0
708,casa fabbrini fancy suites,156,spagna,Roma,214.0,4.0
709,corso hotel mercure trieste,115,,Roma,1.0,
710,boutique holidays hotel roman,312,stazione termini,Roma,518.0,4.0
711,hotel san silvestro,357,spagna,Roma,1.0,
712,95 booking inn settembre,201,centro,Roma,489.0,4.0
713,camilla donna savelli vretreats,262,trastevere,Roma,2.0,
714,colonna hotel palace,331,pantheon,Roma,718.0,
715,flower garden hotel,177,stazione termini,Roma,1.0,
716,bonifacio house,548,aurelio,Roma,79.0,4.0
717,hotel in manfredi suite,305,spagna,Roma,382.0,
718,house roman station,231,stazione termini,Roma,673.0,4.0
719,cilicia hotel,110,san giovanni,Roma,2.0,
720,bq fori house imperiali luxury rooms,333,monti,Roma,139.0,4.0
721,central hotel mosaic,156,monti,Roma,2.0,
722,home trieste,520,,Roma,14.0,4.0
723,hotel white,322,trevi,Roma,569.0,
724,michelangelo starhotels,219,aurelio,Roma,1.0,
725,hotel luxus,315,monti,Roma,108.0,
726,celio hotel,300,colosseo,Roma,307.0,
727,deal suite,199,stazione termini,Roma,1.0,4.0
728,54 luxury margutta suites,363,spagna,Roma,278.0,4.0
729,hotel oriente,158,stazione termini,Roma,271.0,
730,hotel raganelli,116,aurelio,Roma,1.0,
731,ciao hotel,188,stazione termini,Roma,2.0,
732,piramide rooms,82,aventino,Roma,373.0,3.0
733,hotel laurentia,173,san lorenzo,Roma,2.0,
734,di la muraglia pietro san,209,vaticano prati,Roma,67.0,4.0
735,168 holiday,172,stazione termini,Roma,292.0,4.0
736,bb residence vatican,146,trionfale,Roma,53.0,4.0
737,la quiete,105,nomentano,Roma,490.0,3.0
738,colors hotel navona,262,navona,Roma,1.0,
739,hotel planet,148,stazione termini,Roma,1.0,
740,guest house marta,214,vaticano prati,Roma,306.0,4.0
741,apartment sopi suite vatican,144,vaticano prati,Roma,232.0,4.0
742,hotel hotels lorologio wtb,321,pantheon,Roma,937.0,
743,corso del hotel,223,spagna,Roma,1.0,
744,central guest house mosaic,136,monti,Roma,452.0,3.0
745,apartment luxury veneto via,320,via veneto,Roma,33.0,4.0
746,hotel virginia,107,stazione termini,Roma,2.0,
747,house minerva pantheon,331,pantheon,Roma,56.0,4.0
748,lucia tagliaferri,132,stazione termini,Roma,1.0,4.0
749,dei la principi reggia,145,stazione termini,Roma,643.0,
750,di hotel piazza spagna,231,spagna,Roma,861.0,
751,abruzzi albergo,282,pantheon,Roma,655.0,
752,84 pietro rooms san,172,vaticano prati,Roma,1.0,4.0
753,lifestyle suite veneto,189,via veneto,Roma,232.0,4.0
754,pietro san suite,265,aurelio,Roma,188.0,4.0
755,collection giustiniano nh,312,vaticano prati,Roma,1.0,
756,luxury new rooms,164,vaticano prati,Roma,295.0,4.0
757,34 campo de fiori,245,navona,Roma,1.0,4.0
758,suite vatican your,179,vaticano prati,Roma,1.0,4.0
759,brave for lovers suitesistina,255,spagna,Roma,1.0,4.0
760,at decimo meridio spanish steps,239,spagna,Roma,126.0,4.0
761,apartments petra,345,colosseo,Roma,353.0,4.0
762,republic the,316,stazione termini,Roma,1.0,
763,grand suite vatican,164,vaticano prati,Roma,847.0,3.0
764,palace,142,stazione termini,Roma,981.0,
765,affittacamere albadomus guesthouse o,250,nomentano,Roma,444.0,4.0
766,antica de dimora michaelis,154,navona,Roma,576.0,4.0
767,eur hilton la lama,172,eur,Roma,1.0,
768,hotel kolbe,266,colosseo,Roma,426.0,
769,americana hotel nardizzi,240,stazione termini,Roma,1.0,
770,2 hotel mimosa positano,173,stazione termini,Roma,27.0,
771,hotel marcantonio,180,stazione termini,Roma,1.0,
772,aires buenos hotel,165,,Roma,998.0,
773,hotel imperatori,96,tiburtino,Roma,697.0,
774,navona nice room,174,navona,Roma,567.0,3.0
775,almaìt,243,pantheon,Roma,683.0,4.0
776,casa cecilia,151,san giovanni,Roma,542.0,4.0
777,a astoria cavalieri hotel waldorf,1620,trionfale,Roma,795.0,
778,lighthouse suites trastevere,165,gianicolense,Roma,385.0,4.0
779,genio hotel,213,navona,Roma,530.0,
780,castel inn santangelo,173,vaticano prati,Roma,500.0,4.0
781,by costanza hotel hotels omnia santa,228,nomentano,Roma,462.0,
782,domus santangelo,401,navona,Roma,110.0,4.0
783,dany guest house,173,monti,Roma,1.0,4.0
784,dem hotel,162,monti,Roma,1.0,
785,fountain guest house luxury trevi,445,trevi,Roma,62.0,4.0
786,di fontana hotel relais trevi,275,trevi,Roma,1.0,
787,haven rooms vatican,117,aurelio,Roma,204.0,3.0
788,fountain guest house luxury residenza trevi tritone,313,spagna,Roma,254.0,4.0
789,annodomini,118,aurelio,Roma,1.0,4.0
790,hotel la place,289,spagna,Roma,489.0,
791,luxury rooms trastevere,181,gianicolense,Roma,229.0,4.0
792,antica cinque delle dimora lune,170,navona,Roma,1.0,
793,apartments flowers,213,navona,Roma,750.0,3.0
794,36 umiltà,740,trevi,Roma,1.0,
795,cicer one the,172,vaticano prati,Roma,477.0,4.0
796,nhow,250,via veneto,Roma,840.0,
797,evergreen,120,stazione termini,Roma,554.0,4.0
798,palazzo relais taverna,135,navona,Roma,597.0,3.0
799,guest house sangiò,208,monti,Roma,551.0,3.0
800,aventino hotel,241,aventino,Roma,1.0,
801,dve suite,146,stazione termini,Roma,517.0,4.0
802,best hotel,188,stazione termini,Roma,570.0,
803,hotels ih z3,194,,Roma,1.0,
804,rometobe,298,vaticano prati,Roma,360.0,4.0
805,hotel virgilio,163,monti,Roma,3.0,
806,gcf guest house luxury suites,272,spagna,Roma,591.0,4.0
807,amy casa di la,163,stazione termini,Roma,2.0,4.0
808,cavour guesthouse spazio,148,vaticano prati,Roma,485.0,4.0
809,affittacamere casalí,221,stazione termini,Roma,287.0,4.0
810,41 hotel trevi,210,trevi,Roma,1.0,
811,naif rooms,113,stazione termini,Roma,406.0,3.0
812,frattina residenza,210,spagna,Roma,728.0,4.0
813,hotel isabella principessa,193,via veneto,Roma,1.0,
814,88 bocca di leone parisii,375,spagna,Roma,332.0,4.0
815,argentina della hotel torre,294,pantheon,Roma,4.0,
816,guest house masterintrastevere,131,portuense,Roma,484.0,4.0
817,suitedream vatican,121,aurelio,Roma,659.0,4.0
818,del le vaticano vie,144,trionfale,Roma,130.0,4.0
819,artistes des hotel,210,stazione termini,Roma,1.0,
820,diplomatic hotel,218,vaticano prati,Roma,2.0,
821,balilla hotel,160,stazione termini,Roma,830.0,
822,gemini navona suites,157,navona,Roma,811.0,4.0
823,campo dei fiori magenta,178,pantheon,Roma,616.0,4.0
824,ad ad by luxury rooms vatican,152,vaticano prati,Roma,138.0,4.0
825,fellini hotel,169,trevi,Roma,2.0,
826,bb boutique casa fabbrini,170,spagna,Roma,330.0,4.0
827,suite tiber,103,,Roma,136.0,4.0
828,corso del home via,213,pantheon,Roma,1.0,4.0
829,hotel mf,125,,Roma,883.0,
830,warmthotel,164,fonte ostiense,Roma,2.0,
831,city guest house,110,appio latino,Roma,751.0,4.0
832,inn vatican,198,vaticano prati,Roma,728.0,3.0
833,lea luxury rooms,291,pantheon,Roma,496.0,4.0
834,r2r retreat vatican,149,vaticano prati,Roma,41.0,4.0
835,congressi dei hotel,197,eur,Roma,3.0,
836,guest house indipendenza relais,150,stazione termini,Roma,1.0,4.0
837,lupardi palazzo relais,169,navona,Roma,846.0,4.0
838,bed breakfast cenci di fontana trevi,240,trevi,Roma,993.0,4.0
839,inn luxury palace trevi,416,trevi,Roma,613.0,
840,hotel john saint,228,stazione termini,Roma,1.0,
841,imperial suites,131,aurelio,Roma,185.0,4.0
842,relais secret vatican,189,vaticano prati,Roma,520.0,3.0
843,di di hotel la lumiere piazza spagna,265,spagna,Roma,359.0,
844,aparthotel colombo,172,ostiense,Roma,2.0,
845,hotel independent the,275,stazione termini,Roma,637.0,
846,cassia hotel,228,,Roma,480.0,
847,casa cozy dream spanish step suites,325,spagna,Roma,52.0,4.0
848,biondi guest house,121,monti,Roma,962.0,4.0
849,hotel kent,150,,Roma,1.0,
850,a casa di francesca ponte romana rotto santa,226,trastevere,Roma,1.0,3.0
851,castrense domus,158,nomentano,Roma,1.0,4.0
852,apartment cipro vintage,325,trionfale,Roma,57.0,4.0
853,deuropa giardino hotel,123,appio latino,Roma,1.0,
854,apartment casa luxury violante,280,spagna,Roma,69.0,4.0
855,best blu hotel western,193,tiburtino,Roma,1.0,
856,baglioni hotel hotels leading of regina the the world,761,via veneto,Roma,1.0,
857,cenci hotel monte,311,pantheon,Roma,374.0,
858,a i mulini vento,175,vaticano prati,Roma,676.0,4.0
859,giulia vatican,143,aurelio,Roma,515.0,4.0
860,anselmo san,213,aventino,Roma,2.0,
861,apartments corso vittorio,353,navona,Roma,94.0,3.0
862,cross hotel the,283,stazione termini,Roma,3.0,
863,hotels trastevere una,289,trastevere,Roma,2.0,
864,borgonove,297,vaticano prati,Roma,428.0,3.0
865,boutique ca collection domus downtown house,171,spagna,Roma,702.0,4.0
866,hotel navona palazzo,547,pantheon,Roma,1.0,
867,collection hilton hotel house spring tapestry the vatican,262,trionfale,Roma,2.0,
868,albergo ottocento,248,via veneto,Roma,1.0,
869,kosmo luxury,179,monti,Roma,444.0,4.0
870,grand hotel palace,332,via veneto,Roma,673.0,
871,aparts,711,vaticano prati,Roma,722.0,4.0
872,home molly,183,trastevere,Roma,479.0,4.0
873,101flats apartments borsieri by,173,vaticano prati,Roma,334.0,4.0
874,hotel napoleon,256,stazione termini,Roma,456.0,
875,eudora guesthouse,226,aurelio,Roma,11.0,4.0
876,time wonderful,123,vaticano prati,Roma,1.0,4.0
877,cardilli luxury rooms,147,monti,Roma,815.0,4.0
878,amica domus,118,trionfale,Roma,435.0,
879,monti rione suites,181,monti,Roma,756.0,4.0
880,36 suite,136,vaticano prati,Roma,591.0,4.0
881,boutique campo de fiori hotel,499,navona,Roma,805.0,
882,daphne suites,163,trevi,Roma,961.0,3.0
883,suites tridente,185,spagna,Roma,913.0,4.0
884,ad2015 guest house,164,vaticano prati,Roma,542.0,4.0
885,heart of pantheon view,625,pantheon,Roma,4.0,4.0
